"","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g__Turicibacter","no_IgA",15.30475450941,-1.75554074243207,0.252536886473873,-6.9516210758134,3.61112289669975e-12,1.00509587291476e-10
"k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f___g__","no_IgA",6068.95111483416,0.0200334864000943,0.113872876740046,0.175928517603254,0.860350100952703,0.998644113602911
"k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Mogibacteriaceae]_g__","no_IgA",27.5918987456951,-0.0222048633616688,0.084004496086306,-0.264329463257009,0.791526058994159,0.998644113602911
"g__Anaerococcus","no_IgA",1.06831188112753,0.303777264422273,0.151871522154091,2.00022532278341,0.0454759385883149,0.140638550819418
"k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Christensenellaceae_g__","no_IgA",10.31378192898,-0.0370376443619927,0.11046381492935,-0.335292098916564,0.737404753290522,0.998644113602911
"k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__","no_IgA",71.6978830995318,-0.169801362731647,0.143651008255201,-1.1820408697027,0.237189484645634,0.557896393462266
"g__02d06","no_IgA",2.08390988824451,0.0175139481958308,0.111696491486329,0.156799447885741,0.87540290799271,0.998644113602911
"g__Candidatus Arthromitus","no_IgA",5.21671472568155,-0.8651978404795,0.231409631481606,-3.73881516918743,0.000184889595913189,0.00106470905232768
"k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__Clostridium","no_IgA",11.709401603287,-0.0260116939605342,0.0501485574240156,-0.518692765987273,0.603975007109296,0.987422221485336
"g__Sarcina","no_IgA",1.6480574102384,0.407354329828412,0.139957772413224,2.91055168144361,0.00360791292688175,0.0154492681740834
"g__SMB53","no_IgA",4.53419900868856,0.55861692448676,0.142554069274294,3.91863190809308,8.90529899356069e-05,0.000594873972769854
"g__Thermoanaerobacterium","no_IgA",2.05983643874208,-0.0460494012378747,0.113589853700179,-0.405400656289446,0.685183028640757,0.998644113602911
"g__Dehalobacterium","no_IgA",69.8773263170281,-0.209141229796958,0.133992054224564,-1.56084799958696,0.118559619029326,0.335584006405041
"g__Anaerofustis","no_IgA",2.15608842459039,0.0335887253694225,0.1096601293366,0.306298429270701,0.759377435043785,0.998644113602911
