"","OTU_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1479","4440624","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","s__","NASH",6.40279880348971,-0.957934386852687,0.325257445735744,-2.94515744193281,0.00322790363332502,0.00934092467342727
"1480","4460604","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",0.80919358627467,-0.892010775653665,1.10274002507461,-0.808903962285502,0.41857038962278,0.530513633359105
"1481","273586","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",4.69698510099773,0.540552195689578,0.237572090116483,2.27531860086992,0.0228868243968064,0.0483608270278182
"1482","2497335","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Parabacteroides","s__distasonis","NASH",49.6756622123829,0.164568766521628,0.276747154913118,0.594653869425659,0.55207486343525,0.654088696896111
"1483","1678333","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Coprococcus","s__","NASH",1.01029230277464,0.993474808369905,0.600823454473219,1.65352201378515,0.0982246696666591,0.165992077421176
"1484","176957","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",74.6834148749279,0.861805170727358,0.228000272823766,3.77984271708962,0.000156927456579163,0.000603709156486898
"1485","275470","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",5.96995270822113,0.532351619867331,0.483934419487022,1.10004909432074,0.271310731861044,0.37592631067187
"1486","179703","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",6.0967476969639,0.270295973610241,0.246851158630395,1.09497551119438,0.27352736521678,0.378196399263793
"1487","230268","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","s__","NASH",32.2795412660851,0.610394608211645,0.237193281342412,2.57340597826834,0.0100703004348914,0.0246859790688345
"1488","265793","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","s__","NASH",7.91252541122909,0.583078389456817,0.510223644468371,1.14278982516453,0.253125864307989,0.358819855000134
"1489","191811","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",13.7830733369809,0.78606506412204,0.304562212708971,2.58096714339666,0.00985239582948249,0.0244998740398538
"1490","164788","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",0.464730674083361,-1.15697311204311,0.563004397016674,-2.05499835911379,0.0398791632018563,0.0755970224174319
"1491","174770","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",130.267863602799,0.058309836592191,0.162775122710939,0.358223269140083,0.720176234904337,0.787617487671298
"1492","1113282","k__Bacteria","p__Tenericutes","c__Mollicutes","o__RF39","f__","g__","s__","NASH",1.864192579655,-0.0986032380162864,0.365282212259943,-0.269937146422334,0.787208608863108,0.838492557323245
"1493","272953","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","s__","NASH",5.02514627301613,0.476080104937013,0.22531386616986,2.11296407553588,0.0346038428064049,0.0672996368551194
"1494","176886","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",0.559563370455312,-1.09590623367291,1.0760338395721,-1.01846818693798,0.308455511946717,0.415937948068357
"1495","164237","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","s__","NASH",5.53210029057794,-2.36345601820736,0.551856752409012,-4.2827346188847,1.84610306301107e-05,9.01008509857639e-05
"1496","4385479","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Proteus","s__","NASH",0.930869157960186,2.13324765477346,0.676681169334036,3.15251517472094,0.00161870407919274,0.00490824708711481
"1497","549756","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__","NASH",2.05343362702972,2.55611622213979,0.522885982135674,4.88847723876551,1.01618944048741e-06,6.1535916118404e-06
"1498","1111033","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",10.9155692919724,0.971812104733451,0.444167922878748,2.18793851306264,0.0286740814474547,0.0566551337360585
"1499","163153","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","s__","NASH",91.5874469447581,0.904161702929632,0.223022096600432,4.05413506873058,5.03201371045416e-05,0.00021794284547265
"1500","175998","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__[Ruminococcus]","s__gnavus","NASH",4.91263269026237,-1.80431694656192,0.321546201976099,-5.61137695134722,2.0072299120807e-08,1.77395724662267e-07
"1501","164308","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",0.728859292489222,0.506603165972697,0.423505888057441,1.19621280425736,0.231613525403765,0.335865289609894
"1502","375106","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","s__","NASH",15.852696733931,0.662663890539336,0.224217508133431,2.95545114231216,0.00312212142660041,0.00907496627998518
"1503","259504","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","s__","NASH",0.653869109638124,0.0625520354325673,0.784367288616159,0.079748398920264,0.936437365231981,0.95841946300738
"1504","262095","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__","s__","NASH",51.3835971655646,1.25223149511797,0.30158436259677,4.15217647339446,3.29328143396656e-05,0.000147520962863982
"1505","318503","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",9.30462283999253,1.49262406181477,0.308929412152929,4.83160231139106,1.35438587541846e-06,7.97989515787091e-06
"1506","174004","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",33.5891093064844,-0.68187707919701,0.295019092024241,-2.31129814181986,0.0208163925938608,0.0447940204320258
"1507","337784","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Mogibacteriaceae]","g__","s__","NASH",1.45698627697652,-0.147073003161838,0.25201012137424,-0.583599588619031,0.559489737026732,0.658546787479491
"1508","350224","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","s__flavefaciens","NASH",7.03499579991456,-2.65088408527773,0.728286994807655,-3.63988936254155,0.00027275521067312,0.00102518337804724
"1509","461524","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__","s__","NASH",112.187984010742,0.384313402043349,0.323972288767093,1.18625393395802,0.235522032759087,0.340777454478857
"1510","300703","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","s__","NASH",0.145443710308715,1.2573396721685,3.02609827582195,0.415498624818118,0.677776921652443,0.753853923062411
"1511","308734","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",1.97345494126229,-2.90591527442403,0.600957225145552,-4.83547772259533,1.32826250253923e-06,7.89712433327868e-06
"1512","221429","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","s__","NASH",0.338410061839929,-2.03869270372079,1.17765752284646,-1.73114225839882,0.0834263949036283,0.143353609929678
"1513","259870","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",1.35794384215569,-2.82112647603179,0.441188359727915,-6.39438102530993,1.61199004847843e-10,2.02738748404787e-09
"1514","305057","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",0.346623085095167,-1.05214366784488,0.923622954563445,-1.13914846166008,0.254641237472185,0.359687622692892
"1515","182712","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",1.33899152117381,-0.83035384073769,0.312072672370286,-2.66077075711533,0.00779620169632749,0.020232999640469
"1516","261064","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",0.992259248383561,0.0196626164311046,0.369065786552039,0.0532767250381041,0.957511424587643,0.970083388369855
"1517","779847","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",0.20273709433595,-1.10394818856648,0.966729011510865,-1.14194171833238,0.253478246192755,0.358819855000134
"1518","174824","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",8.57509310779087,-5.92954620328485,0.544855477671618,-10.8827871725253,1.39239213770352e-27,9.10624458058102e-26
"1519","4417539","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","s__","NASH",1.18614401159936,0.466944443931063,0.998152130071798,0.46780889391828,0.639921259812751,0.724063155566677
"1520","4339358","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__","s__","NASH",5.37544875624717,1.20117162090942,0.739544258883183,1.62420518647979,0.104332024339356,0.174956779276766
"1521","276837","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",11.4205514499667,-0.626427933490266,0.451498263877874,-1.38744261851627,0.165306836974218,0.254751448848245
"1522","191583","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__[Ruminococcus]","s__gnavus","NASH",4.87332086349989,1.41706410259151,0.41319514363005,3.42952748704197,0.00060463318729411,0.0020922227750812
"1523","661055","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","NASH",1.26936653750605,-2.37092445546077,0.547629374039597,-4.32943258315675,1.49494025697651e-05,7.46328952719572e-05
"1524","3172949","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",18.8447663106704,-2.06201066820083,0.570031092404319,-3.61736525546971,0.000297617177276884,0.00110174321244913
"1525","3172943","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","NASH",164.544958082164,-2.32861354465165,0.263313330576277,-8.84350799693788,9.27593608409009e-19,3.19287484157627e-17
"1526","195276","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","s__","NASH",0.730063576611457,1.18189597589488,0.524767421563066,2.25222818210494,0.024307855943425,0.0501493305583596
"1527","708190","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","s__","NASH",3.45618208067544,0.697432827392073,0.27159965392371,2.56787082500472,0.010232527898264,0.0249704225577038
