sample_id	NASH	HCC	obes	adenomas	T1d
10856.E25L.feces.49w.HFD.CD8kCLM.3.8	False	False	True	False	False
10856.E26L.feces.27w.NC.B6.CR.5.32	False	False	False	False	False
10856.E50L.feces.26w.HFD.RagkMup.2.2	True	False	True	False	False
10856.E34La.feces.41w.HFD.MupHe.3.3	True	True	True	False	False
10856.E14L.feces.39w.ANB.HFD.IgAk.MupHe.1.11	True	True	True	False	False
10856.B6.WT.Feces.8w.NC.1.4	False	False	False	False	False
10856.FVB.JH.Feces.11w.NC.3.24	False	False	False	False	False
10856.E25L.feces.48w.HFD.CD8kMup.6.10	True	True	False	False	False
10856.E34La.feces.41w.HFD.MupHe.1.1	True	True	True	False	False
10856.FVB.TGFbRff.Feces.10w.NC.1.35	False	False	False	False	False
10856.E49L.feces.25w.STAM.B6.Ighel.MD4.3.17	True	True	False	False	True
10856.E14L.feces.39w.HFD.IgMk.MupHe.1.16	True	True	True	False	False
10856.E52L.Col.Fe.50w.HFD.RagkMup.1.3	True	True	True	False	False
10856.E23La.feces.51w.aPDL1.HFD.MupHe.1.6	False	True	False	False	False
10856.E11L.feces.56w.NC.3.MupHe.5	True	False	False	True	False
10856.E45L.feces.21w.STAM.FVB.IgAk.3.11	True	True	False	False	True
10856.E24L.feces.47w.NC.IgAkMup.1.19	True	False	False	True	False
10856.E23La.feces.51w.aPDL1.HFD.MupHe.3.8	False	True	False	False	False
10856.E23Lb.feces.51w.ctrl.HFD.IgAkCLM.1.30	False	False	True	False	False
10856.E14L.feces.39w.HFD.IgMHe.MupHe.1.15	True	True	True	False	False
10856.E27L.feces.27w.HFD.IgAkCLM.2.6	False	False	True	False	False
10856.FVB.IgAK.Feces.16w.NC.4.33	False	False	False	False	False
10856.FVB.TGFbRff.Feces.11w.NC.3.40	False	False	False	False	False
10856.E22L.feces.25w.HFD.MupHe.5.5	True	False	True	False	False
10856.B6.WT.Feces.8w.NC.3.6	False	False	False	False	False
10856.E25L.feces.49w.HFD.CD8kMup.5.7	True	True	False	False	False
10856.E20L.feces.45w.HFD.IgAkMup.3.5	True	True	False	False	False
10856.E25L.feces.49w.HFD.CD8kMup.3.5	True	True	False	False	False
10856.E20L.feces.45w.HFD.IgAkMup.1.3	True	True	False	False	False
10856.B6.CD8K.Feces.13w.NC.1.1	False	False	False	False	False
10856.B6.Ighel.MD4.Feces.21w.NC.4.48	False	False	False	False	False
10856.E27L.feces.51w.NC.CD4He.WT.1.29	False	False	False	False	False
10856.E29L.feces.30w.HFD.CD8kCLM.2.5	False	False	True	False	False
10856.E24L.feces.49w.HFD.IgAkCLM.5.6	False	False	True	False	False
10856.B6.WT.Feces.6w.NC.4.7	False	False	False	False	False
10856.E46L.feces.51w.HFD.RagkMup.2.8	True	True	True	False	False
10856.E27L.feces.27w.HFD.IgAkMup.4.5	True	False	True	False	False
10856.E19L.feces.45w.HFD.CD8kMup.6.8	True	True	False	False	False
10856.E25L.feces.49w.HFD.CD8kMup.1.1	True	True	False	False	False
10856.E29L.feces.28w.HFD.CD8kCLM.3.6	False	False	True	False	False
10856.E22L.feces.27w.HFD.MupHe.1.1	True	False	True	False	False
10856.E9L.feces.HFD.IgMk.Mup.1	True	True	True	False	False
10856.E55L.feces.16w.STAM.FVB.CD8k.2.11	True	True	False	False	True
10856.B6.PIGRHe.Feces.16w.NC.2.19	False	False	False	False	False
10856.E45L.feces.22w.STAM.FVB.WT.4.4	True	True	False	False	False
10856.E15L.feces.45w.HFD.IgACLM.2.7	False	False	True	False	False
10856.E49L.feces.25w.STAM.B6.PIGRHe.1.5	True	True	False	False	True
10856.E14L.feces.41w.ANB.HFD.MupHe.6.10	True	True	True	False	False
10856.E49L.feces.26w.STAM.B6.PIGRK.2.2	True	True	False	False	True
10856.E27L.feces.28w.HFD.IgAkMup.1.1	True	False	True	False	False
10856.E23Lb.feces.51w.ctrl.HFD.IgAkMup.1.20	True	True	False	False	False
10856.E22L.feces.26w.HFD.CD8kMup.6.18	True	False	True	False	False
10856.BLANK2.1G	False	False	False	False	False
10856.BLANK2.1H	False	False	False	False	False
10856.E45L.feces.22w.STAM.FVB.WT.2.2	True	True	False	False	False
10856.B6.IgAK.Feces.8w.NC.2.11	False	False	False	False	False
10856.E17L.feces.43w.ANB.HFD.IgAkMup.1.14	True	True	True	False	False
10856.B6.IgAK.Feces.5w.NC.4.13	False	False	False	False	False
10856.E18L.feces.51w.ANB.HFD.IgAkMup.4.8	True	True	True	False	False
10856.BLANK3.2D	False	False	False	False	False
10856.E20L.feces.45w.HFD.IgAkCLM.2.7	False	False	True	False	False
10856.E37Lb.feces.50w.HFD.CD8kCLM.1.17	False	False	True	False	False
10856.E23La.feces.51w.ctrl.HFD.B6.2.13	False	False	True	False	False
10856.E51L.Col.Fe.49w.HFD.MupHe.1.1	True	True	True	False	False
10856.E18L.feces.25w.NC.IgAkMup.1.24	True	False	False	False	False
10856.E26L.feces.27w.HFD.Muphe.1.25	True	False	True	False	False
10856.E26L.feces.27w.NC.B6.CR.3.30	False	False	False	False	False
10856.E40L.feces.47w.NC.B6.2.5	False	False	False	False	False
10856.E51L.Col.Fe.51w.HFD.CD8kMup.2.9	True	True	True	False	False
10856.E18L.feces.51w.ANB.HFD.IgAkMup.2.5	True	True	True	False	False
10856.E5La.feces.27w.HFD.IgA.CLM.14	False	False	True	False	False
10856.E18L.feces.25w.NC.IgAkMup.2.25	False	False	False	False	False
10856.E14L.feces.39w.HFD.MupHe.3.3	True	True	True	False	False
10856.E24Lb.feces.50w.HFD.CD4HeMup.1.1	True	True	True	False	False
10856.E19L.feces.47w.HFD.CD8HeMup.1.3	True	True	True	False	False
10856.E24L.feces.50w.HFD.IgAkCLM.3.4	False	False	True	False	False
10856.E22L.feces.27w.HFD.MupHe.3.3	True	False	True	False	False
10856.E4L.HFD.feces.ox.MupHe.6	False	True	False	False	False
10856.E4L.HFD.feces.ox.MupHe.4	False	True	False	False	False
10856.E4L.HFD.feces.ox.MupHe.9	False	True	False	False	False
10856.E20L.feces.47w.NC.IgAkMup.2.16	True	False	False	True	False
10856.E45L.feces.21w.STAM.FVB.IgAk.1.9	True	True	False	False	True
10856.FVB.JH.Feces.11w.NC.2.23	False	False	False	False	False
10856.E24L.feces.48w.HFD.IgAkMup.8.16	True	True	False	False	False
10856.E41L.feces.19w.STAM.B6.TGFbff.WT.1.14.FVB	True	True	False	False	True
10856.E42L.feces.47w.ANB.HFD.CD8kMup.1.1	True	True	True	False	False
10856.E15L.feces.45w.HFD.IgAMup.2.8	True	True	False	False	False
10856.E24L.feces.50w.HFD.IgAkCLM.1.1	False	False	True	False	False
10856.E19L.feces.47w.HFD.CD8kMup.2.2	True	True	False	False	False
10856.BLANK5.3A	False	False	False	False	False
10856.E42L.feces.47w.ANB.HFD.CD8kMup.3.3	True	True	True	False	False
10856.E32L.feces.30w.HFD.CD8kCLM.1.2	False	False	True	False	False
10856.E22L.feces.26w.HFD.IgAkMup.6.12	True	False	True	False	False
10856.E27L.feces.47w.HFD.CD8kCLM.1.17	False	False	True	False	False
10856.E23La.feces.51w.LALAPG.HFD.MupHe.3.11	False	True	False	False	False
10856.FVB.CD8k.Feces.7w.NC.3.58	False	False	False	False	False
10856.E32L.feces.30w.HFD.CD8kMup.7.12	True	False	True	False	False
10856.FVB.JH.Feces.9w.NC.4.25	False	False	False	False	False
10856.E23La.feces.49w.ctrl.HFD.MupHe.Cd4he.1.2	True	True	True	False	False
10856.B6.PIGRK.Feces.16w.NC.1.18	False	False	False	False	False
10856.E29L.feces.32w.HFD.B6wt.1.1	False	False	True	False	False
10856.E26L.feces.48w.HFD.IgAK.CLM.1.10	False	False	True	False	False
10856.BLANK3.2C	False	False	False	False	False
10856.E47L.feces.26w.STAM.B6.WT.1.1	True	True	False	False	True
10856.E41L.feces.19w.STAM.B6.B.TGFb.3.13.FVB	True	True	False	False	True
10856.E29L.feces.32w.HFD.B6wt.3.3	False	False	True	False	False
10856.BLANK5.3B	False	False	False	False	False
10856.E27L.feces.27w.HFD.IgAkMup.3.4	True	False	True	False	False
10856.E26L.feces.48w.HFD.ctrl.IgAKMup.1.1	True	True	False	False	False
10856.E24L.feces.49w.HFD.IgAkCLM.7.13	False	False	True	False	False
10856.E47L.feces.20w.STAM.FVB.B.TGFbR.1.16	True	True	False	False	True
10856.E22L.feces.26w.HFD.CD8kMup.5.17	True	False	True	False	False
10856.E47L.feces.26w.STAM.B6.WT.3.3	True	True	False	False	True
10856.E23La.feces.47w.ctrl.HFD.MupHe.CD4he.1.1	True	True	True	False	False
10856.E26L.feces.50w.HFD.IgAK.CLM.2.11	False	False	True	False	False
10856.E24Lb.feces.50w.HFD.CD4HeMup.2.2	True	True	True	False	False
10856.E47L.feces.20w.STAM.FVB.IgAk.2.10	True	True	False	False	True
10856.E32L.feces.30w.HFD.CD8kMup.4.6	True	False	True	False	False
10856.E23La.feces.51w.ctrl.NC.B6.3.19	False	False	False	False	False
10856.E40L.feces.50w.HFD.B6.2.2	False	False	True	False	False
10856.E45L.feces.21w.STAM.FVB.IgAk.4.12	True	True	False	False	True
10856.E26L.feces.27w.NC.B6.CR.4.31	False	False	False	False	False
10856.E41L.feces.20w.STAM.FVB.IgAk.2.9	True	True	False	False	True
10856.B6.PIGRHe.Feces.16w.NC.4.21	False	False	False	False	False
10856.E27L.feces.27w.NC.CD8kCLM.1.26	True	False	False	False	False
10856.E27L.feces.27w.NC.CD8kCLM.1.27	False	False	False	False	False
10856.E27L.feces.27w.NC.CD8kCLM.1.24	True	False	False	False	False
10856.E27L.feces.27w.NC.CD8kCLM.1.25	True	False	False	False	False
10856.E4L.feces.ctrl.MupHe.5	True	True	True	False	False
10856.E27L.feces.27w.NC.CD8kCLM.1.28	False	False	False	False	False
10856.E23La.feces.51w.ctrl.NC.B6.1.17	False	False	False	False	False
10856.E47L.feces.20w.STAM.FVB.B.TGFbR.6.21	True	True	False	False	True
10856.E49L.feces.25w.STAM.B6.Ighel.MD4.2.16	True	True	False	False	True
10856.E45L.feces.21w.STAM.FVB.IgAk.2.10	True	True	False	False	True
10856.E32L.feces.30w.HFD.CD8kMup.2.4	True	False	True	False	False
10856.E24L.feces.49w.HFD.IgAkMup.2.7	True	True	False	False	False
10856.B6.IgAK.Feces.8w.NC.1.10	False	False	False	False	False
10856.E37Lb.feces.50w.HFD.CD8kCLM.3.21	False	False	True	False	False
10856.FVB.B.TGFbR.Feces.11w.NC.5.42	False	False	False	False	False
10856.E12L.feces.36w.HFD.CD4HeMup.19	True	True	True	False	False
10856.E14L.feces.41w.ANB.HFD.MupHe.5.9	True	True	True	False	False
10856.E9L.feces.HFD.IgMk.Mup.2	True	True	True	False	False
10856.E14L.feces.39w.HFD.MupHe.1.1	True	True	True	False	False
10856.E20L.feces.45w.HFD.IgAkMup.5.10	True	True	False	False	False
10856.E22L.feces.25w.HFD.CD8kMup.7.19	True	False	True	False	False
10856.E9L.feces.NC.MupHe.4	True	False	False	True	False
10856.E4L.feces.ctrl.MupHe.8	True	True	True	False	False
10856.E4L.feces.ctrl.MupHe.1	True	True	True	False	False
10856.E24L.feces.48w.HFD.IgAkMup.9.17	True	True	False	False	False
10856.B6.PIGRHe.Feces.16w.NC.1.17	False	False	False	False	False
10856.E14L.feces.41w.ANB.HFD.MupHe.4.8	True	True	True	False	False
10856.E15L.feces.45w.HFD.IgAMup.4.13	True	True	False	False	False
10856.E17L.feces.44w.HFD.CD4HeMup.1.4	True	True	True	False	False
10856.E47L.feces.20w.STAM.FVB.B.TGFbR.4.19	True	True	False	False	True
10856.E26L.feces.27w.HFD.Muphe.2.26	True	False	True	False	False
10856.E49L.feces.25w.STAM.B6.Ighel.MD4.4.18	True	True	False	False	True
10856.B6.PIGRK.Feces.6w.NC.3.64	False	False	False	False	False
10856.E14L.feces.39w.ANB.HFD.IgAk.MupHe.2.12	True	True	True	False	False
10856.E23La.feces.51w.ctrl.HFD.B6.1.12	False	False	True	False	False
10856.E47L.feces.20w.STAM.FVB.B.TGFbR.5.20	True	True	False	False	True
10856.E42L.feces.48w.HFD.CD8kMup.7.18	True	True	False	False	False
10856.E24L.feces.50w.HFD.IgAkMup.1.2	True	True	False	False	False
10856.E27L.feces.28w.HFD.IgAkCLM.1.3	False	False	True	False	False
10856.E19L.feces.45w.HFD.CD8kMup.3.4	True	True	False	False	False
